a	A		sumti or		logical connective: sumti afterthought or
gei	VUhU2		exponential notation		trinary mathematical operator: order of magnitude/value/base; [b * (c to the a power)]
genja		gej	root		x1 is a root [body-part] of plant/species x2; [metaphor: immobile, supporting, nourishing]	(cf. jamfu, jicmu, patlu, samcu, spati, krasi)
gento		get ge'o	Argentinian		x1 reflects Argentinian culture/nationality in aspect x2	(cf. xispo, ketco, spano)
genxu		gex	hook		x1 is a hook/crook [shape/form] of material x2	(cf. kruvi, korcu)
gerku		ger ge'u	dog		x1 is a dog/canine/[bitch] of species/breed x2	(cf. lorxu, labno, mlatu)
gerna		gen ge'a	grammar		x1 is the grammar/rules/defining form of language x2 for structure/text x3	(cf. bangu, stura, cmavo, jufra)
gi	GI		connective medial		logical connective: all but tanru-internal forethought connective medial marker
gi'a	GIhA		bridi or		logical connective: bridi-tail afterthought or
gi'e	GIhA		bridi and		logical connective: bridi-tail afterthought and
gi'enai	GIhA*		bridi but not		logical connective: bridi-tail afterthought x but not y
gi'i	GIhA		bridi conn ?		logical connective: bridi-tail afterthought conn question
gi'o	GIhA		bridi iff		logical connective: bridi-tail afterthought biconditional/iff/if-and-only-if
gi'onai	GIhA*		bridi xor		logical connective: bridi-tail afterthought exclusive or; Latin 'aut'
gi'u	GIhA		bridi whether		logical connective: bridi-tail afterthought whether-or-not
gidva		gid gi'a	guide		x1 (person/object/event) guides/conducts/pilots/leads x2 (active participants) in/at x3 (event)	[a guiding person advises/suggests/sets an example to be followed, but does not necessarily control/direct/manage actual execution of an event; an event may serve as a guide by setting a pattern/example to be emulated]; (cf. jitro, ralju, sazri, te bende, jatna, fukpi, morna)
gigdo		gig gi'o	1E9	metric 'giga'	x1 is a billion [British milliard] [1x10**9] of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
ginka		gik	camp		x1 is a camp/encampment/temporary residence of x2 at location x3	(cf. dinju, xabju, zdani)
girzu		gir gri	group		x1 is group/cluster/team showing common property (ka) x2 due to set x3 linked by relations x4	[also collection, team, comprised of, comprising; members x3 (a specification of the complete membership) comprise group x1; cluster (= kangri)]; (cf. bende, ciste, cmima, gunma, panra, cabra, cecmu, kansa, klesi, lanzu, liste, vrici)
gismu		gim gi'u	root word		x1 is a (Lojban) root word expressing relation x2 among argument roles x3, with affix(es) x4	[gismu list, if physical object (= (loi) gimste); referring to the mental construct (e.g. propose adding a new gismu to the gismu list = gimpoi, gimselcmi, gimselste)]; (cf. cmavo, cmene, lujvo, smuni, sumti, tanru, valsi)
glare		gla	hot	'warm'	x1 is hot/[warm] by standard x2	[warm (= mligla), feverish (= bi'agla)]; (cf. lenku)
gleki		gek gei	happy	'gay'	x1 is happy/gay/merry/glad/gleeful about x2 (event/state)	[adversity (= kamnalgei)]; (cf. badri, cinmo)
gletu		let gle	copulate	'coitus'	x1 copulates/fucks/mates/has coitus/sexual intercourse with x2	[x1 and x2 are symmetrical; mounts (= cpanygle)]; (cf. cinse, pinji, plibu, vibna, vlagi, mabla, speni)
glico		gic gli	English		x1 is English/pertains to English-speaking culture in aspect x2	[generally assume broadest sense of 'English'; may refer to 'English', pertaining to the country/people/culture of England (normally requiring constraint = gligu'e, or simply redundancy = gligli-); British English, the norm language of the UK (= gliglibau)]; (cf. brito which refers to the United Kingdom as a whole or to the British empire, merko, sralo, kadno, skoto)
gluta		glu	glove		x1 is a mitten/glove [hand and lower arm garment] of material x2	[mitten (= degycauglu)]; (cf. taxfu)
go	GA		fore iff		logical connective: forethought all but tanru internal biconditional/iff/if-and-only-if(with gi)
go'a	GOhA		recent bridi		pro-bridi: repeats a recent bridi (usually not the last 2)
go'e	GOhA		penultimate bridi		pro-bridi: repeats the next to last bridi
go'i	GOhA		last bridi		pro-bridi: preceding bridi; in answer to a yes/no question, repeats the claim, meaning yes
go'ira'o	GOhA*		true for me too		pro-bridi: preceding bridi; repeats claim as true, updating for speaker/listener change
go'o	GOhA		future bridi		pro-bridi: repeats a future bridi, normally the next one
go'u	GOhA		earlier bridi		pro-bridi: repeats a remote past bridi
gocti		goc	1E-24	'yocto'	x1 is 1x10**-24 of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
goi	GOI		pro-sumti assign		sumti assignment; used to define/assign ko'a/fo'a series pro-sumti; Latin 'sive'
gonai	GA*		fore xor		logical connective: forethought all but tanru-internal exclusive or (with gi); Latin 'aut'
gotro		got	1E24	'yotta'	x1 is 1x10**24 of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
gradu		rau	unit	'degree, grad'	x1 [magnitude] is a unit/degree of/on scale/reference standard x2 (si'o) measuring property x3	[also grade, level, point; x3 dimension]; (cf. ckilu, kantu, kelvo, merli, ranti, selci)
grake		gra	gram		x1 is x2 gram(s) [metric unit] in mass (default is 1) by standard x3	(cf. junta, kilto, bunda, centi, decti, dekto, femti, gigdo, gocti, gotro, litce, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
grana		ga'a	rod		x1 is a rod/pole/staff/stick/cane [shape/form] of material x2	(cf. garna)
grasu		ras	grease		x1 is a quantity of/is made of/contains grease/fat/oil from source x2	(cf. ctile, matne, plana)
greku		rek	frame		x1 is a frame/structure/skeleton/outline supporting/load-bearing/determining the form of x2	(cf. korbi, stura, tsina, bongu)
grusi		rus	gray		x1 is gray [color adjective]	(cf. skari, blabi, xekri, kandi, carmi)
grute		rut	fruit		x1 is a fruit [body-part] of species x2	(cf. badna, dembi, figre, guzme, narge, perli, pilka, plise, spati, stagi, tamca, tsiju, tarbi, panzi, rorci, te pruce, jbari, nimre)
gu	GA		fore whether		logical connective: forethought all but tanru-internal whether-or-not (with gi)
gu'a	GUhA		fore tanru or		logical connective: tanru-internal forethought or (with gi)
gu'anai	GUhA*		fore tanru only if		logical connective: tanru-internal forethought conditional/only if (with gi)
gu'e	GUhA		fore tanru and		logical connective: tanru-internal forethought and (with gi)
gu'i	GUhA		fore tanru conn ?		logical connective: tanru-internal forethought question (with gi)
gu'o	GUhA		fore tanru iff		logical connective: tanru-internal forethought biconditional/iff/if-and-only-if (with gi)
gu'onai	GUhA*		fore tanru xor		logical connective: tanru-internal forethought exclusive or (with gi); Latin 'aut'
gu'u	GUhA		fore tanru whether		logical connective: tanru-internal forethought whether-or-not (with gi)
gubni		gub	public		x1 is public/un-hidden/open/jointly available to/owned by all among community x2 (mass)	(cf. sivni)
gugde		gug gu'e	country		x1 is the country of peoples x2 with land/territory x3; (people/territory relationship)	[also sovereignty, domestic (as opposed to foreign), nation (when not referring to ethos)]; (cf. turni, natmi, jecta, tumla, tutra, lanci)
gundi		gud	industry		x1 is industry/industrial/systematic manufacturing activity producing x2 by process/means x3	(cf. cupra, fanri, rutni, zbasu)
gunka		gun gu'a	work		x1 [person] labors/works on/at x2 [activity] with goal/objective x3	[also: x1 is a worker/laborer]; (cf. sazri, gasnu, se jibri; zukte - which need not be labor; physics term 'work' = ni muvyselbai, briju, jibri, lazni, selfu)
gunma		gum	jointly	'mass'	x1 is a mass/team/aggregate/whole, together composed of components x2, considered jointly	[A description in x1 indicates of mass property(ies) displayed by the mass; masses may reveal properties not found in the individual set members that are massified, which themselves are not necessarily relevant to the mass property implicit in this bridi]; (cf. bende, girzu, pagbu, cmavo list loi, lei, lai, ciste, cmima, kansa, tinci)
gunro		gur gu'o	roll	'trundle'	x1 rolls/trundles on/against surface x2 rotating on axis/axle x3; x1 is a roller	(cf. bolci, carna, jendu, slanu)
gunse			goose		x1 is a goose/[gander] of species/breed x2	(cf. cipni)
gunta		gut	attack		x1 (person/mass) attacks/invades/commits aggression upon victim x2 with goal/objective x3	(cf. bradi, damba, darxi, jamna, jenca, jursa)
gurni		gru	grain		x1 is grain/[British: corn]/cereal from plant/species x2	(cf. bavmi, cunmi, mavji, maxri, molki, mraji, rismi, sobde, spati, zumri, nanba, sorgu)
guska		guk	scrape		x1 blade/scraper/erosive scrapes/erodes/abrades x2 from x3	[abrade, abrasive (= mosyguska)]; (cf. balre, sraku, batci, canpa, mosra)
gusni		gus gu'i	illumine	'light'	x1 [energy] is light/illumination illuminating x2 from light source x3	[x3 illuminates/lights x2 with light/illumination x1; x2 is lit/illuminated by illumination x1 from source x3 (= selgu'i for reordered places); light/lamp (= tergu'i)](cf. dirce, manku, solri, carmi, ctino, kantu)
gusta			restaurant		x1 is a restaurant/cafe/diner serving type-of-food x2 to audience x3	(cf. barja, citka, kukte, sanmi, xotli)
gutci		guc	cubit	'foot'	x1 is x2 (default 1) short local distance unit(s) [non-metric], standard x3, x4 subunits	[foot (= jmagutci); yard (= cibjmagutci), pace (= tapygutci), inch (= degygutci), cubit (= birgutci)]; (additional subunit places may be added as x5, x6, ...); (cf. mitre, clani, ganra, condi, rotsu, rupnu, fepni, dekpu, minli, merli, bunda, kramu)
gutra			womb	'uterus'	x1 is a/the womb/uterus [body-part] of x2; [metaphor: nourishing, protective, giving birth]	(cf. jbena, rorci, sovda, tarbi, ganti, mabla)
guzme		guz zme	melon		x1 is a melon/squash [fruit/plant] of species/strain x2	(cf. grute)
gy	BY2		g		letteral for g
i	I		sentence link		sentence link/continuation; continuing sentences on same topic; normally elided for new speakers
i'a	UI1		acceptance		attitudinal: acceptance - blame	(cf. nalna'e, nalpro, no'epro, nalzugjdi)
i'anai	UI*1		blame		attitudinal: acceptance - blame
i'e	UI1		approval		attitudinal: approval - non-approval - disapproval	(cf. zanru)
i'ecu'i	UI*1		non-approval		attitudinal: approval - non-approval - disapproval
i'enai	UI*1		disapproval		attitudinal: approval - non-approval - disapproval
i'i	UI1		togetherness		attitudinal: togetherness - privacy	(cf. kansa, gumna, sivni, sepli)
i'inai	UI*1		privacy		attitudinal: togetherness - privacy
i'o	UI1		appreciation		attitudinal: appreciation - envy	(cf. ckire, jilra)
i'onai	UI*1		envy		attitudinal: appreciation - envy
i'u	UI1		familiarity		attitudinal: familiarity - mystery	(cf. slabu, nalni'o, kufra)
i'unai	UI*1		mystery		attitudinal: familiarity - mystery
ia	UI1		belief		attitudinal: belief - skepticism - disbelief	(cf. krici, jinvi)
iacu'i	UI*1		skepticism		attitudinal: belief - skepticism - disbelief
ianai	UI*1		disbelief		attitudinal: belief - skepticism - disbelief
ibu	BY*		i		letteral for i
ie	UI1		agreement		attitudinal: agreement - disagreement	(cf. tugni)
ienai	UI*1		disagreement		attitudinal: agreement - disagreement
ii	UI1		fear		attitudinal: fear - security	(cf. terpa, snura)
iinai	UI*1		security		attitudinal: fear - security
ija	JA*		sentence or		logical connective: sentence afterthought or
ijanai	JA*		sentence if		logical connective: sentence afterthought: (preceding sentence) if this sentence
ije	JA*		sentence and		logical connective: sentence afterthought and
ije'i	JA*		sentence conn ?		logical connective: sentence afterthought conn question
ijenai	JA*		sentence but not		logical connective: sentence afterthought x but not y
ijo	JA*		sentence iff		logical connective: sentence afterthought biconditional/iff/if-and-only-if
ijonai	JA*		sentence xor		logical connective: sentence afterthought exclusive or; Latin 'aut'
iju	JA*		sentence whether		logical connective: sentence afterthought whether-or-not
inaja	JA*		sentence only if		logical connective: sentence afterthought conditional/only if
io	UI1		respect		attitudinal: respect - disrespect	(cf. sinma)
ionai	UI*1		disrespect		attitudinal: respect - disrespect
iu	UI1		love		attitudinal: love - no love lost - hatred	(cf. prami)
iucu'i	UI*1		no love lost		attitudinal: love - no love lost - hatred
iunai	UI*1		hatred		attitudinal: love - no love lost - hatred
ja	JA	jav	tanru or		logical connective: tanru-internal afterthought or
ja'a	NA		bridi affirmer		bridi logical affirmer; scope is an entire bridi
ja'e	BAI		therefore result		jalge modal, 1st place                            resultingly; therefore result ...
ja'enai	BAI*		nevertheless result		jalge modal, 1st place (event causal)             nevertheless result ...
ja'i	BAI		by rule		javni modal, 1st place (by standard 1)            orderly; by rule ...
ja'o	UI2		I conclude		evidential: I conclude	(cf. selni'i, ni'ikri)
jabre			brake		x1 brakes/causes to slow motion/activity x2 with device/mechanism/principle x3	(cf. mosra)
jadni		jad ja'i	adorn		x1 (object) adorns/decorates x2; x1 is an adornment/decoration of x2; x2 is fancy/decorated	[fancy/decorated (= selja'i)]; (cf. jemna, dirba, batke)
jai	JAI		modal conversion		convert tense/modal (tagged) place to 1st place; 1st place moves to extra FA place (fai)
jaica	SE*		time conversion		convert time tense (tagged) place to 1st place; 1st place moves to extra place (fai)
jaigau	SE*		agent conversion		makes x1 the agent of a bridi; old 1st place moves to extra place (fai)
jaivi	SE*		location conversion		convert location tense (tagged) place to 1st place; 1st place moves to extra place (fai)
jakne			rocket		x1 is a rocket [vehicle] propelled by jet expelling x2 carrying payload x3	(cf. cecla, danti, spoja)
jalge		jag ja'e	result		x1 (action/event/state) is a result/outcome/conclusion of antecedent x2 (event/state/process)	[also: x2 gives rise to x1 (= selja'e for reordered places); total (general meaning, but also = mekyja'e, pi'irja'e, sujyja'e)]; (cf. se mukti, te zukte, se rinka, se krinu, se nibli, mulno, sumji, pilji, mekso, cmavo list ja'e, ciksi)
jalna			starch		x1 is a quantity of/contains/is made of starch from source x2 of composition including x3	(cf. patlu, samcu)
jalra			cockroach		x1 is a cockroach/[orthopteran/termite] of order/species/breed x2	[also grasshopper (= pipyjalra);  cricket (= sanjalra); locust, termite (= mantyjalra or mudyctijalra)]; (while cockroaches are an order unto themselves, they are part of Orthoptera, which includes grasshoppers, crickets, etc; termites are a closely-related non-Orthoptera, more akin to cockroaches than to e.g. ants); (cf. cinki, civla, manti)
